id;kurzform;bezeichnung;bezeichnung_en;titel;titel_kurz;Id Repäsentation für Schlüssel 4.1;;;;;;;;
1;BWL;Betriebswirtschaftslehre;Business Administration;Bachelor of Science;B.Sc.;021;;;;;;;;
2;WINFO;Wirtschaftsinformatik;Computer Science and Business Management;Bachelor of Science;B.Sc.;277;;;;;;;;
3;WING;Wirtschaftsingenieurwesen;Industrial Engineering and Business Management;Bachelor of Science;B.Sc.;179;;;;;;;;
4;MBA;Master of Business Administration;Master of Business Administration;Master of Business Administration;MBA;021;;;;;;;;
5;MWINF;Wirtschaftsinformatik/IT-Management;Computer Science and Business Management;Master of Science;M.Sc.;277;;;;;;;;
6;MFMA;Financial Management and Accounting;Financial Management and Accounting;Master of Science;M.Sc.;021;;;;;;;;
7;MMSM;Marketing and Sales Management;Marketing and Sales Management;Master of Arts;M.A.;021;;;;;;;;
9;AINF;Angewandte Informatik;Applied Computer Science;Bachelor of Science;B.Sc.;079;;;;;;;;
10;MWING;Wirtschaftsingenieurwesen;Industrial Engineering and Business Management;Master of Science;M.Sc.;179;;;;;;;;
11;MGM;General Management;General Management;Master of Arts;M.A.;021;;;;;;;;
12;MLOG;Logistik und Supply Chain Management;Logistics and Supply Chain Management;Master of Science;M.Sc.;184;;;;;;;;
13;MPSY;Wirtschaftspsychologie;Business Psychology;Master of Science;M.Sc.;030;;;;;;;;
14;MWR;Wirtschaftsrecht;Business Law;Master of Laws;LL.M.;042;;;;;;;;
16;IB;International Business;International Business;Bachelor of Science;B.Sc.;182;;;;;;;;
17;MHCM;Healthcare Management;Healthcare Management;Master of Science;M.Sc.;232;;;;;;;;
18;MAISE;Angewandte Informatik / Software Engineering;Applied Computer Science / Software Engineering;Master of Science;M.Sc.;079;;;;;;;;
19;MADS;Applied Data Science;Applied Data Science;Master of Science;M.Sc.;277;;;;;;;;
20;TINF;Technische Informatik / IT-Engineering;Computer Engineering / IT Engineering;Bachelor of Science;B.Sc.;123;;;;;;;;
21;MHRPSY;HR-Management & Wirtschaftspsychologie ;HR Management & Business Psychology ;Master of Science;M.Sc.;030;;;;;;;;